obs,FFR,GDP,CPI
1982Q3,0.110066667,-0.644258655,0.555745165
1982Q4,0.092866667,-0.643371908,0.55745165
1983Q1,0.086533333,-0.631115444,0.556882821
1983Q2,0.088033333,-0.608810946,0.564277588
1983Q3,0.0946,-0.589253981,0.56996587
1983Q4,0.0943,-0.56899834,0.575654152
1984Q1,0.096866667,-0.549635982,0.582480091
1984Q2,0.105566667,-0.532571285,0.588168373
1984Q3,0.1139,-0.522890634,0.594425484
1984Q4,0.092666667,-0.514708021,0.598976109
1985Q1,0.084766667,-0.505516857,0.602957907
1985Q2,0.079233333,-0.497008443,0.610352673
1985Q3,0.079,-0.481499648,0.614334471
1985Q4,0.081033333,-0.473842655,0.620022753
1986Q1,0.078266667,-0.46432494,0.621729238
1986Q2,0.0692,-0.46036976,0.619453925
1986Q3,0.062066667,-0.450835764,0.624004551
1986Q4,0.062666667,-0.44581003,0.627986348
1987Q1,0.0622,-0.439252836,0.634812287
1987Q2,0.0665,-0.428315227,0.64334471
1987Q3,0.068433333,-0.419280792,0.650739477
1987Q4,0.069166667,-0.401967647,0.656427759
1988Q1,0.066633333,-0.397090656,0.659840728
1988Q2,0.071566667,-0.384458216,0.668373151
1988Q3,0.079833333,-0.37913294,0.676905575
1988Q4,0.0847,-0.366022817,0.684300341
1989Q1,0.094433333,-0.355925903,0.691695108
1989Q2,0.097266667,-0.349384847,0.704209329
1989Q3,0.090833333,-0.34228724,0.708759954
1989Q4,0.086133333,-0.339752348,0.716154721
1990Q1,0.0825,-0.32826951,0.728100114
1990Q2,0.082433333,-0.325713759,0.734926052
1990Q3,0.0816,-0.325643638,0.748577929
1990Q4,0.077433333,-0.33323111,0.76109215
1991Q1,0.064266667,-0.338345268,0.766780432
1991Q2,0.058633333,-0.331875503,0.771331058
1991Q3,0.056433333,-0.327061033,0.77701934
1991Q4,0.048166667,-0.32238145,0.783845279
1992Q1,0.040233333,-0.312077026,0.788395904
1992Q2,0.0377,-0.302480433,0.794653015
1992Q3,0.032566667,-0.292717207,0.801478953
1992Q4,0.030366667,-0.281759081,0.807736064
1993Q1,0.0304,-0.28055187,0.813993174
1993Q2,0.03,-0.275497437,0.820250284
1993Q3,0.0306,-0.270375531,0.823663254
1993Q4,0.0299,-0.257009837,0.829351536
1994Q1,0.032133333,-0.246887621,0.83447099
1994Q2,0.0394,-0.233932537,0.839021615
1994Q3,0.044866667,-0.228344077,0.847554039
1994Q4,0.051666667,-0.216693902,0.851535836
1995Q1,0.0581,-0.213918442,0.858361775
1995Q2,0.0602,-0.212126653,0.865756542
1995Q3,0.057966667,-0.204009958,0.869738339
1995Q4,0.0572,-0.196722622,0.873720137
1996Q1,0.053633333,-0.189696084,0.881114903
1996Q2,0.052433333,-0.173438129,0.890784983
1996Q3,0.053066667,-0.165090655,0.89476678
1996Q4,0.0528,-0.153465724,0.902161547
1997Q1,0.052766667,-0.145762839,0.907849829
1997Q2,0.055233333,-0.130682824,0.91069397
1997Q3,0.055333333,-0.118308458,0.914675768
1997Q4,0.055066667,-0.110961204,0.918657565
1998Q1,0.0552,-0.099956626,0.920932878
1998Q2,0.055,-0.09336485,0.926052332
1998Q3,0.055333333,-0.081913541,0.929465301
1998Q4,0.0486,-0.066839085,0.932878271
1999Q1,0.047333333,-0.058387389,0.935722412
1999Q2,0.047466667,-0.050144923,0.945392491
1999Q3,0.050933333,-0.038543718,0.950511945
1999Q4,0.053066667,-0.020925012,0.957337884
2000Q1,0.056766667,-0.018394894,0.965870307
2000Q2,0.062733333,-0.002808834,0.975540387
2000Q3,0.0652,-0.003956946,0.982935154
2000Q4,0.064733333,0.001224492,0.99032992
2001Q1,0.055933333,0,1
2001Q2,0.043266667,0.003063471,1.010807736
2001Q3,0.034966667,-0.000455772,1.00967008
2001Q4,0.021333333,0.00347728,1.009101251
2002Q1,0.017333333,0.010245444,1.011376564
2002Q2,0.0175,0.015673042,1.022753129
2002Q3,0.0174,0.021547139,1.027872582
2002Q4,0.014433333,0.022052427,1.031285552
2003Q1,0.0125,0.025039305,1.04152446
2003Q2,0.012466667,0.033564975,1.043799772
2003Q3,0.010166667,0.05161373,1.050056883
2003Q4,0.009966667,0.058160382,1.049488055
2004Q1,0.010033333,0.067602623,1.059158134
2004Q2,0.0101,0.077509568,1.075654152
2004Q3,0.014333333,0.085145616,1.077929465
2004Q4,0.0195,0.091597191,1.086461889
2005Q1,0.0247,0.099960975,1.091012514
2005Q2,0.029433333,0.107991827,1.105802048
2005Q3,0.0346,0.118237476,1.117178612
2005Q4,0.0398,0.122609332,1.124004551
2006Q1,0.044566667,0.136185933,1.130261661
2006Q2,0.049066667,0.142501882,1.151877133
2006Q3,0.052466667,0.146428095,1.159840728
